Exp,IP,TON,TOFF,TR,VA,MRR,SR
1,9,60,15,800,8,2.6167,3.73
2,15,120,15,800,8,6.0189,5.2
3,15,60,90,800,8,3.8,4.32
4,9,120,90,800,8,2.19,3.91
5,15,60,15,1200,8,4.39,4.53
6,9,120,15,1200,8,3.2,4.02
7,9,60,90,1200,8,1.85,3.08
8,15,120,90,1200,8,4.1333,4.75
9,15,60,15,800,12,3.7667,4.38
10,9,120,15,800,12,3.3167,3.36
11,9,60,90,800,12,2.2567,3.33
12,15,120,90,800,12,5.1133,5.16
13,9,60,15,1200,12,1.79,4.04
14,15,120,15,1200,12,6.48,5.43
15,15,60,90,1200,12,4.4667,4.24
16,9,120,90,1200,12,1.91,3.06
17,12,90,45,1000,10,3.1167,4.51
18,12,90,45,1000,10,2.8633,4.75
19,12,90,45,1000,10,3.2,4.63
20,12,90,45,1000,10,2.96,4.47
21,15,60,15,800,8,4.1,4.81
22,9,120,15,800,8,3.8667,4.62
23,9,60,90,800,8,2.4167,3.46
24,15,120,90,800,8,4.5867,5.03
25,9,60,15,1200,8,2.14,3.6
26,15,120,15,1200,8,6.6167,5.37
27,15,60,90,1200,8,3.46,4.78
28,9,120,90,1200,8,2.0167,3.68
29,9,60,15,800,12,1.9667,3.29
30,15,120,15,800,12,5.9467,4.98
31,15,60,90,800,12,3.7617,3.69
32,9,120,90,800,12,2.55,3.38
33,15,60,15,1200,12,4.9,4.47
34,9,120,15,1200,12,3.7833,3.23
35,9,60,90,1200,12,1.9,3.08
36,15,120,90,1200,12,5.35,5.39
37,12,90,45,1000,10,3.6167,4.2
38,12,90,45,1000,10,3.3767,5.19
39,12,90,45,1000,10,3.1833,4.37
40,12,90,45,1000,10,3.5167,5.03
41,9,90,45,1000,10,2.2617,4.35
42,15,90,45,1000,10,4.4167,5.28
43,12,60,45,1000,10,3.18,3.63
44,12,120,45,1000,10,3.7833,5.05
45,12,90,15,1000,10,4.55,4.14
46,12,90,90,1000,10,3.18,4.22
47,12,90,45,800,10,3.01,4.04
48,12,90,45,1200,10,3.0833,4.1
49,12,90,45,1000,8,3.0667,4.19
50,12,90,45,1000,12,3.2167,4.64
51,12,90,45,1000,10,2.95,4.65
52,12,90,45,1000,10,3.15,4.62
53,12,90,45,1000,10,3.12,4.23
54,12,90,45,1000,10,3.1633,4.03
